text,label
chuyến du lịch chỉ là chuyện hằng ngày.,trung tính
"Hôm nay thật kinh khủng, tài chính gần đây.",tiêu cực
"Hôm nay thật kinh khủng, bữa ăn trưa.",tiêu cực
người bạn của tôi chỉ là chuyện hằng ngày.,trung tính
Tôi ghét việc bài nhạc.,tiêu cực
Tôi cảm thấy rất vui vì buổi họp.,tích cực
cuộc gọi lúc sáng làm tôi rất khó chịu.,tiêu cực
buổi chiều khiến tôi cảm thấy thật tốt đẹp.,tích cực
tin tức hôm nay không ảnh hưởng gì đến tôi.,trung tính
"Không tốt cũng không xấu, kế hoạch mới.",trung tính
cuộc hẹn là chuyện bình thường.,trung tính
Tôi cảm thấy thất vọng về sức khỏe.,tiêu cực
việc nhà cũng được.,trung tính
sản phẩm tôi mua cũng được.,trung tính
bộ phim tối qua thật sự khiến tôi mệt mỏi.,tiêu cực
bộ phim tối qua không ảnh hưởng gì đến tôi.,trung tính
Tôi yêu việc chuyến du lịch.,tích cực
Tôi không có ý kiến về bài nhạc.,trung tính
"Hôm nay thật kinh khủng, đồ ăn ở quán.",tiêu cực
Tôi rất hài lòng về chuyến xe buýt.,tích cực
Tôi nghĩ người bạn của tôi không có gì đặc biệt.,trung tính
"Hôm nay thật tuyệt, bài nhạc.",tích cực
kế hoạch mới không ảnh hưởng gì đến tôi.,trung tính
việc nhà cũng được.,trung tính
Tôi yêu việc cuộc hẹn.,tích cực
"Hôm nay thật tuyệt, ngày cuối tuần.",tích cực
cuộc hẹn là chuyện bình thường.,trung tính
Tôi cực kỳ thích ngày cuối tuần.,tích cực
trò chơi mới khiến tôi cảm thấy thật tốt đẹp.,tích cực
Tôi cảm thấy rất vui vì chuyến xe buýt.,tích cực
Tôi yêu việc chuyện gia đình.,tích cực
Thật tuyệt vời khi kết quả làm việc.,tích cực
"Không tốt cũng không xấu, dịch vụ ở quán.",trung tính
Tôi rất buồn vì việc mua sắm.,tiêu cực
người bạn của tôi không ảnh hưởng gì đến tôi.,trung tính
"Hôm nay thật kinh khủng, bài kiểm tra.",tiêu cực
Tôi cảm thấy trung lập về việc nhà.,trung tính
Tôi cảm thấy rất vui vì người bạn của tôi.,tích cực
Thật tệ khi sản phẩm tôi mua.,tiêu cực
Tôi rất buồn vì sức khỏe.,tiêu cực
bài nhạc khiến tôi cảm thấy thật tốt đẹp.,tích cực
Tôi rất buồn vì việc sửa nhà.,tiêu cực
Thật tuyệt vời khi tin tức hôm nay.,tích cực
Thật hạnh phúc khi sản phẩm tôi mua.,tích cực
dịch vụ ở quán làm tôi rất khó chịu.,tiêu cực
dịch vụ ở quán khiến tôi cảm thấy thật tốt đẹp.,tích cực
Tôi nghĩ kết quả làm việc không có gì đặc biệt.,trung tính
việc nhà là chuyện bình thường.,trung tính
buổi chiều làm tôi rất khó chịu.,tiêu cực
bữa ăn trưa thật sự khiến tôi mệt mỏi.,tiêu cực
tin tức hôm nay là chuyện bình thường.,trung tính
Tôi nghĩ đồ ăn ở quán không có gì đặc biệt.,trung tính
Tôi cảm thấy trung lập về sản phẩm tôi mua.,trung tính
Tôi cảm thấy trung lập về việc sửa nhà.,trung tính
Thật hạnh phúc khi dịch vụ ở quán.,tích cực
Thật tuyệt vời khi tin tức hôm nay.,tích cực
Tôi rất buồn vì trò chơi mới.,tiêu cực
trò chơi mới cũng được.,trung tính
sản phẩm tôi mua thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi cảm thấy thất vọng về tài chính gần đây.,tiêu cực
việc nhà cũng được.,trung tính
trò chơi mới làm tôi rất khó chịu.,tiêu cực
"Hôm nay thật kinh khủng, cuộc gọi lúc sáng.",tiêu cực
Tôi cảm thấy thất vọng về dịch vụ ở quán.,tiêu cực
việc sửa nhà cũng được.,trung tính
Tôi ghét việc chuyến du lịch.,tiêu cực
Tôi ghét việc tin tức hôm nay.,tiêu cực
Thật tệ khi trò chơi mới.,tiêu cực
tài chính gần đây là chuyện bình thường.,trung tính
bài tập nhóm cũng được.,trung tính
việc học làm tôi rất khó chịu.,tiêu cực
"Hôm nay thật tuyệt, bữa tiệc hôm qua.",tích cực
Thật hạnh phúc khi bộ phim tối qua.,tích cực
buổi họp thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi cảm thấy thất vọng về công việc.,tiêu cực
Thật hạnh phúc khi kế hoạch mới.,tích cực
Tôi cảm thấy trung lập về bữa ăn trưa.,trung tính
Tôi cảm thấy tiêu cực về việc sửa nhà.,tiêu cực
Thật tệ khi một tin nhắn bất ngờ.,tiêu cực
việc sửa nhà thật sự khiến tôi mệt mỏi.,tiêu cực
Thật tệ khi cuộc gọi lúc sáng.,tiêu cực
tài chính gần đây khiến tôi cảm thấy thật tốt đẹp.,tích cực
Tôi cảm thấy rất vui vì một tin nhắn bất ngờ.,tích cực
Tôi yêu việc bữa ăn trưa.,tích cực
Tôi cảm thấy thất vọng về bài tập nhóm.,tiêu cực
Tôi rất buồn vì buổi chiều.,tiêu cực
Tôi rất hài lòng về tài chính gần đây.,tích cực
thời tiết hôm nay chỉ là chuyện hằng ngày.,trung tính
Tôi rất buồn vì bài nhạc.,tiêu cực
Tôi cảm thấy thất vọng về trò chơi mới.,tiêu cực
Tôi cảm thấy thất vọng về bữa ăn trưa.,tiêu cực
"Không tốt cũng không xấu, kế hoạch mới.",trung tính
Thật hạnh phúc khi kết quả làm việc.,tích cực
Tôi cảm thấy thất vọng về đồ ăn ở quán.,tiêu cực
Tôi rất buồn vì tài chính gần đây.,tiêu cực
Tôi rất hài lòng về tài chính gần đây.,tích cực
Tôi cảm thấy rất vui vì chuyến du lịch.,tích cực
Tôi yêu việc kết quả làm việc.,tích cực
Tôi rất hài lòng về dịch vụ ở quán.,tích cực
Tôi nghĩ bữa ăn trưa không có gì đặc biệt.,trung tính
Tôi cực kỳ thích cuộc hẹn.,tích cực
"Hôm nay thật kinh khủng, một tin nhắn bất ngờ.",tiêu cực
Tôi cảm thấy tiêu cực về việc học.,tiêu cực
thời tiết hôm nay khiến tôi cảm thấy thật tốt đẹp.,tích cực
Tôi cảm thấy rất vui vì một tin nhắn bất ngờ.,tích cực
đồ ăn ở quán làm tôi rất khó chịu.,tiêu cực
"Không tốt cũng không xấu, người bạn của tôi.",trung tính
cuộc gọi lúc sáng thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi cảm thấy trung lập về trò chơi mới.,trung tính
việc nhà chỉ là chuyện hằng ngày.,trung tính
Tôi cảm thấy tiêu cực về sản phẩm tôi mua.,tiêu cực
Thật tệ khi kết quả làm việc.,tiêu cực
Tôi yêu việc kết quả làm việc.,tích cực
"Không tốt cũng không xấu, bài kiểm tra.",trung tính
Tôi không có ý kiến về chuyện gia đình.,trung tính
Tôi nghĩ việc mua sắm không có gì đặc biệt.,trung tính
"Hôm nay thật tuyệt, việc học.",tích cực
Tôi nghĩ ngày cuối tuần không có gì đặc biệt.,trung tính
sức khỏe khiến tôi cảm thấy thật tốt đẹp.,tích cực
Tôi rất hài lòng về việc nhà.,tích cực
Thật tệ khi tài chính gần đây.,tiêu cực
"Không tốt cũng không xấu, tin tức hôm nay.",trung tính
"Hôm nay thật tuyệt, bộ phim tối qua.",tích cực
chuyến xe buýt làm tôi rất khó chịu.,tiêu cực
chuyến du lịch khiến tôi cảm thấy thật tốt đẹp.,tích cực
Thật tuyệt vời khi tin tức hôm nay.,tích cực
Thật tệ khi ngày cuối tuần.,tiêu cực
Tôi không có ý kiến về bộ phim tối qua.,trung tính
sức khỏe là chuyện bình thường.,trung tính
"Hôm nay thật kinh khủng, sản phẩm tôi mua.",tiêu cực
Thật hạnh phúc khi việc học.,tích cực
Tôi không có ý kiến về việc sửa nhà.,trung tính
Tôi rất hài lòng về sản phẩm tôi mua.,tích cực
Tôi rất hài lòng về sản phẩm tôi mua.,tích cực
Tôi rất buồn vì bài kiểm tra.,tiêu cực
Tôi yêu việc công việc.,tích cực
buổi chiều cũng được.,trung tính
dịch vụ ở quán làm tôi rất khó chịu.,tiêu cực
sản phẩm tôi mua khiến tôi cảm thấy thật tốt đẹp.,tích cực
việc nhà làm tôi rất khó chịu.,tiêu cực
Tôi rất buồn vì chuyến xe buýt.,tiêu cực
việc nhà chỉ là chuyện hằng ngày.,trung tính
việc nhà chỉ là chuyện hằng ngày.,trung tính
Tôi cảm thấy thất vọng về ngày cuối tuần.,tiêu cực
chuyến du lịch chỉ là chuyện hằng ngày.,trung tính
chuyện gia đình là chuyện bình thường.,trung tính
Tôi rất buồn vì bài kiểm tra.,tiêu cực
"Hôm nay thật tuyệt, buổi họp.",tích cực
Tôi ghét việc buổi họp.,tiêu cực
Thật hạnh phúc khi tài chính gần đây.,tích cực
Tôi rất hài lòng về trò chơi mới.,tích cực
Thật tệ khi việc mua sắm.,tiêu cực
Tôi cảm thấy trung lập về tài chính gần đây.,trung tính
Thật tệ khi bộ phim tối qua.,tiêu cực
Tôi cực kỳ thích việc mua sắm.,tích cực
Tôi cực kỳ thích việc mua sắm.,tích cực
Tôi không có ý kiến về sức khỏe.,trung tính
ngày cuối tuần thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi cảm thấy thất vọng về kết quả làm việc.,tiêu cực
Tôi cảm thấy tiêu cực về thời tiết hôm nay.,tiêu cực
"Hôm nay thật tuyệt, công việc.",tích cực
Thật tuyệt vời khi kết quả làm việc.,tích cực
Tôi cảm thấy thất vọng về một tin nhắn bất ngờ.,tiêu cực
Tôi không có ý kiến về bữa ăn trưa.,trung tính
Tôi cảm thấy rất vui vì cuộc gọi lúc sáng.,tích cực
Tôi không có ý kiến về tài chính gần đây.,trung tính
Tôi cảm thấy trung lập về đồ ăn ở quán.,trung tính
Tôi cảm thấy rất vui vì một tin nhắn bất ngờ.,tích cực
Tôi cảm thấy thất vọng về chuyến du lịch.,tiêu cực
Tôi cảm thấy rất vui vì buổi họp.,tích cực
"Hôm nay thật kinh khủng, chuyến xe buýt.",tiêu cực
thời tiết hôm nay là chuyện bình thường.,trung tính
cuộc hẹn chỉ là chuyện hằng ngày.,trung tính
bài kiểm tra làm tôi rất khó chịu.,tiêu cực
sản phẩm tôi mua khiến tôi cảm thấy thật tốt đẹp.,tích cực
Tôi rất hài lòng về bài kiểm tra.,tích cực
bài đăng trên mạng xã hội thật sự khiến tôi mệt mỏi.,tiêu cực
đồ ăn ở quán chỉ là chuyện hằng ngày.,trung tính
Tôi cảm thấy rất vui vì cuộc hẹn.,tích cực
Tôi cảm thấy rất vui vì ngày cuối tuần.,tích cực
Tôi cảm thấy rất vui vì việc mua sắm.,tích cực
tài chính gần đây làm tôi rất khó chịu.,tiêu cực
"Hôm nay thật kinh khủng, bộ phim tối qua.",tiêu cực
việc mua sắm thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi cực kỳ thích thời tiết hôm nay.,tích cực
Tôi ghét việc buổi chiều.,tiêu cực
Tôi nghĩ việc mua sắm không có gì đặc biệt.,trung tính
Tôi nghĩ việc học không có gì đặc biệt.,trung tính
Tôi cảm thấy thất vọng về đồ ăn ở quán.,tiêu cực
kế hoạch mới không ảnh hưởng gì đến tôi.,trung tính
Tôi yêu việc việc mua sắm.,tích cực
Tôi yêu việc việc học.,tích cực
"Không tốt cũng không xấu, bữa tiệc hôm qua.",trung tính
Tôi không có ý kiến về tài chính gần đây.,trung tính
Tôi cảm thấy trung lập về bộ phim tối qua.,trung tính
"Hôm nay thật kinh khủng, một tin nhắn bất ngờ.",tiêu cực
Tôi yêu việc sức khỏe.,tích cực
Tôi cảm thấy trung lập về bữa ăn trưa.,trung tính
Thật tệ khi việc học.,tiêu cực
"Hôm nay thật kinh khủng, tài chính gần đây.",tiêu cực
Tôi nghĩ bộ phim tối qua không có gì đặc biệt.,trung tính
Tôi cực kỳ thích ngày cuối tuần.,tích cực
Tôi cảm thấy rất vui vì buổi chiều.,tích cực
Thật tệ khi bài nhạc.,tiêu cực
Tôi yêu việc cuộc gọi lúc sáng.,tích cực
cuộc gọi lúc sáng cũng được.,trung tính
Thật tệ khi cuộc hẹn.,tiêu cực
"Hôm nay thật tuyệt, ngày cuối tuần.",tích cực
trò chơi mới là chuyện bình thường.,trung tính
Tôi rất buồn vì một tin nhắn bất ngờ.,tiêu cực
"Không tốt cũng không xấu, đồ ăn ở quán.",trung tính
việc học làm tôi rất khó chịu.,tiêu cực
Tôi yêu việc chuyến du lịch.,tích cực
Tôi cảm thấy trung lập về cuộc gọi lúc sáng.,trung tính
bài kiểm tra chỉ là chuyện hằng ngày.,trung tính
kế hoạch mới không ảnh hưởng gì đến tôi.,trung tính
chuyện gia đình không ảnh hưởng gì đến tôi.,trung tính
Tôi cực kỳ thích trò chơi mới.,tích cực
Tôi cảm thấy thất vọng về tài chính gần đây.,tiêu cực
Tôi cảm thấy tiêu cực về ngày cuối tuần.,tiêu cực
việc học cũng được.,trung tính
Tôi rất buồn vì trò chơi mới.,tiêu cực
Tôi rất buồn vì bài nhạc.,tiêu cực
Tôi cực kỳ thích việc sửa nhà.,tích cực
"Hôm nay thật tuyệt, bài đăng trên mạng xã hội.",tích cực
Tôi cảm thấy trung lập về việc sửa nhà.,trung tính
bài kiểm tra khiến tôi cảm thấy thật tốt đẹp.,tích cực
bài đăng trên mạng xã hội cũng được.,trung tính
Thật tuyệt vời khi công việc.,tích cực
Thật tệ khi việc sửa nhà.,tiêu cực
Tôi rất buồn vì dịch vụ ở quán.,tiêu cực
Tôi cực kỳ thích bữa tiệc hôm qua.,tích cực
Tôi rất buồn vì công việc.,tiêu cực
Thật hạnh phúc khi dịch vụ ở quán.,tích cực
cuộc gọi lúc sáng làm tôi rất khó chịu.,tiêu cực
bài tập nhóm thật sự khiến tôi mệt mỏi.,tiêu cực
"Không tốt cũng không xấu, kết quả làm việc.",trung tính
Tôi yêu việc công việc.,tích cực
Tôi cực kỳ thích việc học.,tích cực
thời tiết hôm nay không ảnh hưởng gì đến tôi.,trung tính
Tôi ghét việc kế hoạch mới.,tiêu cực
Tôi rất hài lòng về kế hoạch mới.,tích cực
Tôi cảm thấy rất vui vì bài tập nhóm.,tích cực
Thật tệ khi tin tức hôm nay.,tiêu cực
bài kiểm tra không ảnh hưởng gì đến tôi.,trung tính
Tôi không có ý kiến về bộ phim tối qua.,trung tính
Tôi cảm thấy trung lập về việc học.,trung tính
Tôi rất buồn vì việc mua sắm.,tiêu cực
Thật tuyệt vời khi ngày cuối tuần.,tích cực
Tôi cảm thấy tiêu cực về bài đăng trên mạng xã hội.,tiêu cực
sản phẩm tôi mua làm tôi rất khó chịu.,tiêu cực
Thật tuyệt vời khi bài đăng trên mạng xã hội.,tích cực
Tôi cảm thấy tiêu cực về việc mua sắm.,tiêu cực
Thật hạnh phúc khi tài chính gần đây.,tích cực
chuyến du lịch là chuyện bình thường.,trung tính
Tôi nghĩ việc học không có gì đặc biệt.,trung tính
chuyến xe buýt cũng được.,trung tính
Thật hạnh phúc khi chuyện gia đình.,tích cực
"Hôm nay thật kinh khủng, chuyện gia đình.",tiêu cực
Tôi cảm thấy thất vọng về việc sửa nhà.,tiêu cực
Tôi rất hài lòng về bữa tiệc hôm qua.,tích cực
Tôi rất hài lòng về tài chính gần đây.,tích cực
chuyến xe buýt thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi cảm thấy thất vọng về cuộc hẹn.,tiêu cực
Thật tệ khi thời tiết hôm nay.,tiêu cực
Thật hạnh phúc khi bữa tiệc hôm qua.,tích cực
việc sửa nhà thật sự khiến tôi mệt mỏi.,tiêu cực
"Hôm nay thật kinh khủng, việc nhà.",tiêu cực
"Không tốt cũng không xấu, công việc.",trung tính
"Không tốt cũng không xấu, bữa ăn trưa.",trung tính
Tôi cảm thấy trung lập về việc sửa nhà.,trung tính
bài đăng trên mạng xã hội thật sự khiến tôi mệt mỏi.,tiêu cực
kế hoạch mới cũng được.,trung tính
Tôi cực kỳ thích việc học.,tích cực
"Không tốt cũng không xấu, chuyện gia đình.",trung tính
Tôi không có ý kiến về bài tập nhóm.,trung tính
Thật hạnh phúc khi buổi chiều.,tích cực
Tôi yêu việc người bạn của tôi.,tích cực
Thật tuyệt vời khi trò chơi mới.,tích cực
kết quả làm việc cũng được.,trung tính
chuyện gia đình cũng được.,trung tính
Thật hạnh phúc khi chuyện gia đình.,tích cực
"Hôm nay thật kinh khủng, bữa tiệc hôm qua.",tiêu cực
"Hôm nay thật tuyệt, bài tập nhóm.",tích cực
"Không tốt cũng không xấu, bài tập nhóm.",trung tính
Thật tuyệt vời khi buổi họp.,tích cực
việc mua sắm không ảnh hưởng gì đến tôi.,trung tính
Thật hạnh phúc khi kế hoạch mới.,tích cực
chuyến xe buýt khiến tôi cảm thấy thật tốt đẹp.,tích cực
Thật tệ khi kế hoạch mới.,tiêu cực
Tôi rất hài lòng về cuộc gọi lúc sáng.,tích cực
Thật hạnh phúc khi buổi chiều.,tích cực
Tôi không có ý kiến về bữa ăn trưa.,trung tính
Thật tuyệt vời khi buổi chiều.,tích cực
Tôi yêu việc việc sửa nhà.,tích cực
Tôi nghĩ bữa tiệc hôm qua không có gì đặc biệt.,trung tính
Tôi cảm thấy thất vọng về chuyện gia đình.,tiêu cực
Tôi không có ý kiến về người bạn của tôi.,trung tính
Tôi rất buồn vì việc nhà.,tiêu cực
bài đăng trên mạng xã hội thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi nghĩ tài chính gần đây không có gì đặc biệt.,trung tính
công việc là chuyện bình thường.,trung tính
tin tức hôm nay khiến tôi cảm thấy thật tốt đẹp.,tích cực
kết quả làm việc làm tôi rất khó chịu.,tiêu cực
trò chơi mới khiến tôi cảm thấy thật tốt đẹp.,tích cực
bộ phim tối qua cũng được.,trung tính
Tôi cảm thấy rất vui vì buổi chiều.,tích cực
Thật tệ khi cuộc gọi lúc sáng.,tiêu cực
bộ phim tối qua là chuyện bình thường.,trung tính
Tôi ghét việc bữa tiệc hôm qua.,tiêu cực
"Hôm nay thật tuyệt, kết quả làm việc.",tích cực
Tôi cực kỳ thích kế hoạch mới.,tích cực
"Không tốt cũng không xấu, bài tập nhóm.",trung tính
Tôi cảm thấy rất vui vì chuyện gia đình.,tích cực
buổi chiều cũng được.,trung tính
Tôi yêu việc cuộc hẹn.,tích cực
"Hôm nay thật tuyệt, sản phẩm tôi mua.",tích cực
Tôi nghĩ cuộc hẹn không có gì đặc biệt.,trung tính
"Hôm nay thật tuyệt, sức khỏe.",tích cực
kết quả làm việc làm tôi rất khó chịu.,tiêu cực
Tôi cảm thấy trung lập về bài nhạc.,trung tính
"Không tốt cũng không xấu, chuyện gia đình.",trung tính
Tôi cảm thấy tiêu cực về buổi chiều.,tiêu cực
Tôi cảm thấy thất vọng về người bạn của tôi.,tiêu cực
Tôi rất buồn vì bộ phim tối qua.,tiêu cực
Thật tệ khi công việc.,tiêu cực
Tôi cảm thấy tiêu cực về tin tức hôm nay.,tiêu cực
Tôi ghét việc bài đăng trên mạng xã hội.,tiêu cực
Tôi cảm thấy thất vọng về chuyến xe buýt.,tiêu cực
bài đăng trên mạng xã hội không ảnh hưởng gì đến tôi.,trung tính
"Hôm nay thật tuyệt, chuyến xe buýt.",tích cực
Tôi nghĩ việc sửa nhà không có gì đặc biệt.,trung tính
Tôi cảm thấy tiêu cực về buổi chiều.,tiêu cực
"Hôm nay thật kinh khủng, ngày cuối tuần.",tiêu cực
việc mua sắm là chuyện bình thường.,trung tính
"Hôm nay thật tuyệt, sản phẩm tôi mua.",tích cực
Tôi cảm thấy thất vọng về sản phẩm tôi mua.,tiêu cực
công việc là chuyện bình thường.,trung tính
"Hôm nay thật tuyệt, bài nhạc.",tích cực
Tôi yêu việc kế hoạch mới.,tích cực
Tôi rất buồn vì sức khỏe.,tiêu cực
Tôi rất hài lòng về việc nhà.,tích cực
Thật hạnh phúc khi bộ phim tối qua.,tích cực
buổi chiều thật sự khiến tôi mệt mỏi.,tiêu cực
buổi họp cũng được.,trung tính
kết quả làm việc không ảnh hưởng gì đến tôi.,trung tính
Tôi không có ý kiến về cuộc gọi lúc sáng.,trung tính
Tôi ghét việc bài đăng trên mạng xã hội.,tiêu cực
Tôi cảm thấy rất vui vì buổi họp.,tích cực
Tôi yêu việc bộ phim tối qua.,tích cực
"Hôm nay thật kinh khủng, chuyện gia đình.",tiêu cực
cuộc hẹn là chuyện bình thường.,trung tính
việc mua sắm không ảnh hưởng gì đến tôi.,trung tính
công việc không ảnh hưởng gì đến tôi.,trung tính
Tôi cảm thấy thất vọng về chuyến du lịch.,tiêu cực
chuyến xe buýt khiến tôi cảm thấy thật tốt đẹp.,tích cực
sản phẩm tôi mua khiến tôi cảm thấy thật tốt đẹp.,tích cực
Tôi cảm thấy rất vui vì thời tiết hôm nay.,tích cực
dịch vụ ở quán chỉ là chuyện hằng ngày.,trung tính
Thật tuyệt vời khi công việc.,tích cực
Tôi ghét việc tài chính gần đây.,tiêu cực
chuyến du lịch thật sự khiến tôi mệt mỏi.,tiêu cực
"Hôm nay thật kinh khủng, chuyện gia đình.",tiêu cực
"Hôm nay thật kinh khủng, việc mua sắm.",tiêu cực
việc nhà làm tôi rất khó chịu.,tiêu cực
Thật tuyệt vời khi chuyến xe buýt.,tích cực
Tôi nghĩ bài kiểm tra không có gì đặc biệt.,trung tính
dịch vụ ở quán làm tôi rất khó chịu.,tiêu cực
Tôi cảm thấy tiêu cực về chuyến du lịch.,tiêu cực
"Hôm nay thật kinh khủng, tin tức hôm nay.",tiêu cực
ngày cuối tuần thật sự khiến tôi mệt mỏi.,tiêu cực
Tôi ghét việc việc sửa nhà.,tiêu cực
buổi họp không ảnh hưởng gì đến tôi.,trung tính
Tôi cảm thấy rất vui vì chuyến xe buýt.,tích cực
thời tiết hôm nay không ảnh hưởng gì đến tôi.,trung tính
Tôi nghĩ bữa ăn trưa không có gì đặc biệt.,trung tính
Tôi cảm thấy thất vọng về bài tập nhóm.,tiêu cực
"Không tốt cũng không xấu, người bạn của tôi.",trung tính
sản phẩm tôi mua là chuyện bình thường.,trung tính
Tôi cảm thấy tiêu cực về chuyện gia đình.,tiêu cực
Tôi nghĩ việc mua sắm không có gì đặc biệt.,trung tính
Tôi rất hài lòng về chuyến du lịch.,tích cực
Tôi cảm thấy rất vui vì công việc.,tích cực
"Hôm nay thật tuyệt, cuộc hẹn.",tích cực
"Không tốt cũng không xấu, tin tức hôm nay.",trung tính
Tôi yêu việc bài đăng trên mạng xã hội.,tích cực
Tôi cảm thấy tiêu cực về đồ ăn ở quán.,tiêu cực
bài kiểm tra không ảnh hưởng gì đến tôi.,trung tính
Thật hạnh phúc khi bài đăng trên mạng xã hội.,tích cực
việc học khiến tôi cảm thấy thật tốt đẹp.,tích cực
Tôi ghét việc sản phẩm tôi mua.,tiêu cực
việc học khiến tôi cảm thấy thật tốt đẹp.,tích cực
Thật tuyệt vời khi người bạn của tôi.,tích cực
sức khỏe cũng được.,trung tính
Tôi nghĩ tài chính gần đây không có gì đặc biệt.,trung tính
Tôi cảm thấy rất vui vì bộ phim tối qua.,tích cực
"Không tốt cũng không xấu, bữa ăn trưa.",trung tính
"Hôm nay thật tuyệt, sản phẩm tôi mua.",tích cực
công việc chỉ là chuyện hằng ngày.,trung tính
Tôi yêu việc buổi chiều.,tích cực
Tôi ghét việc cuộc hẹn.,tiêu cực
Tôi không có ý kiến về trò chơi mới.,trung tính
Tôi cực kỳ thích buổi họp.,tích cực
Tôi rất buồn vì thời tiết hôm nay.,tiêu cực
Tôi rất buồn vì một tin nhắn bất ngờ.,tiêu cực
Tôi rất buồn vì công việc.,tiêu cực
Tôi cực kỳ thích cuộc gọi lúc sáng.,tích cực
chuyện gia đình chỉ là chuyện hằng ngày.,trung tính
"Hôm nay thật tuyệt, đồ ăn ở quán.",tích cực
Tôi ghét việc trò chơi mới.,tiêu cực
"Hôm nay thật kinh khủng, việc nhà.",tiêu cực
tin tức hôm nay là chuyện bình thường.,trung tính
Tôi rất hài lòng về chuyến xe buýt.,tích cực
"Không tốt cũng không xấu, tin tức hôm nay.",trung tính
việc mua sắm là chuyện bình thường.,trung tính
Tôi rất buồn vì buổi họp.,tiêu cực
Tôi cảm thấy rất vui vì việc mua sắm.,tích cực
chuyến xe buýt không ảnh hưởng gì đến tôi.,trung tính
Tôi cảm thấy thất vọng về việc mua sắm.,tiêu cực
"Hôm nay thật tuyệt, chuyện gia đình.",tích cực
Tôi ghét việc việc sửa nhà.,tiêu cực
Tôi ghét việc một tin nhắn bất ngờ.,tiêu cực
sản phẩm tôi mua chỉ là chuyện hằng ngày.,trung tính
Tôi rất buồn vì cuộc hẹn.,tiêu cực
bữa ăn trưa là chuyện bình thường.,trung tính
dịch vụ ở quán là chuyện bình thường.,trung tính
